wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_string,q_stemmed_has_tighter,q_stemmed_has_pitch,q_stemmed_has_higher,q_stemmed_has_string_tighter,q_stemmed_has_tighter_pitch,q_stemmed_has_pitch_higher,q_stemmed_has_string_tighter_pitch,q_stemmed_has_tighter_pitch_higher,q_stem_ordered_has_higher,q_stem_ordered_has_pitch,q_stem_ordered_has_string,q_stem_ordered_has_tighter,q_stem_ordered_has_higher_pitch,q_stem_ordered_has_pitch_string,q_stem_ordered_has_string_tighter,q_stem_ordered_has_higher_pitch_string,q_stem_ordered_has_pitch_string_tighter
0.4000000000000001,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.2,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4000000000000001,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4000000000000001,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.2,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0000000000000002,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
0.2,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.6000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
